fips,lat,lon
1093,39.8,140.8
1094,39.8,140.9
1095,39.8,141.0
1096,39.8,141.1
1097,39.8,141.2
1098,39.8,141.2
1099,39.8,141.4
1100,39.8,141.5
1101,39.8,141.6
1102,39.8,141.8
1103,39.8,141.8
1104,39.8,141.9
1105,39.7,140.1
1106,39.7,140.2
1107,39.7,140.2
1108,39.7,140.4
1109,39.7,140.5
1110,39.7,140.6
1111,39.7,140.8
1112,39.7,140.8
1113,39.7,140.9
1114,39.7,141.0
1115,39.7,141.1
1116,39.7,141.2
1117,39.7,141.2
1118,39.7,141.4
1119,39.7,141.5
1120,39.7,141.6
1121,39.7,141.8
1122,39.7,141.8
1123,39.7,141.9
1124,39.6,140.2
1125,39.6,140.2
1126,39.6,140.4
1127,39.6,140.5
1128,39.6,140.6
1129,39.6,140.8
1130,39.6,140.8
1131,39.6,140.9
1132,39.6,141.0
1133,39.6,141.1
1134,39.6,141.2
1135,39.6,141.2
1136,39.6,141.4
1137,39.6,141.5
1138,39.6,141.6
1139,39.6,141.8
1140,39.6,141.8
1141,39.6,141.9
1142,39.5,140.1
1143,39.5,140.2
1144,39.5,140.2
1145,39.5,140.4
1146,39.5,140.5
1147,39.5,140.6
1148,39.5,140.8
1149,39.5,140.8
1150,39.5,140.9
1151,39.5,141.0
1152,39.5,141.1
1153,39.5,141.2
1154,39.5,141.2
1155,39.5,141.4
1156,39.5,141.5
1157,39.5,141.6
1158,39.5,141.8
1159,39.5,141.8
1160,39.5,141.9
1161,39.4,140.1
1162,39.4,140.2
1163,39.4,140.2
1164,39.4,140.4
1165,39.4,140.5
1166,39.4,140.6
1167,39.4,140.8
1168,39.4,140.8
1169,39.4,140.9
1170,39.4,141.0
1171,39.4,141.1
1172,39.4,141.2
1173,39.4,141.2
1174,39.4,141.4
1175,39.4,141.5
1176,39.4,141.6
1177,39.4,141.8
1178,39.4,141.8
1179,39.4,141.9
1180,39.3,140.0
1181,39.3,140.1
1182,39.3,140.2
1183,39.3,140.2
1184,39.3,140.4
1185,39.3,140.5
1186,39.3,140.6
1187,39.3,140.8
1188,39.3,140.8
1189,39.3,140.9
1190,39.3,141.0
1191,39.3,141.1
1192,39.3,141.2
1193,39.3,141.2
1194,39.3,141.4
1195,39.3,141.5
1196,39.3,141.6
1197,39.3,141.8
1198,39.3,141.8
1199,39.2,140.0
1200,39.2,140.1
1201,39.2,140.2
1202,39.2,140.2
1203,39.2,140.4
1204,39.2,140.5
